point_index,num_pulses,x_target_nm,y_target_nm,x_nm_avg,y_nm_avg,peak_intensity_mV_avg
1,3,-1250000,-1250000,-627.4606299212599,0.0,789.554625984252
2,3,-1000000,-1250000,-2509.8425196850394,0.0,710.5068897637796
3,3,-750000,-1250000,-1882.3818897637796,0.0,710.5068897637796
4,3,-500000,-1250000,-1882.3818897637796,0.0,710.5068897637796
5,3,-250000,-1250000,-627.4606299212599,0.0,710.5068897637796
6,3,0,-1250000,0.0,0.0,710.5068897637796
7,3,250000,-1250000,-1882.3818897637796,0.0,710.5068897637796
8,3,500000,-1250000,-627.4606299212599,-1259.8425196850394,710.5068897637796
9,3,750000,-1250000,1882.3818897637796,0.0,710.5068897637796
10,3,1000000,-1250000,0.0,0.0,710.5068897637796
11,3,1250000,-1250000,-627.46062992126,-1259.8425196850394,710.5068897637796
12,3,-1250000,-1000000,0.0,0.0,710.5068897637796
13,3,-1000000,-1000000,-1254.9212598425197,0.0,710.5068897637796
14,3,-750000,-1000000,1254.9212598425197,0.0,710.5068897637796
15,3,-500000,-1000000,-3137.3031496062995,0.0,710.5068897637796
16,3,-250000,-1000000,-2509.8425196850394,0.0,710.5068897637796
17,3,0,-1000000,-1254.92125984252,0.0,710.5068897637796
18,3,250000,-1000000,-627.4606299212599,0.0,710.5068897637796
19,3,500000,-1000000,-1254.9212598425197,0.0,710.5068897637796
20,3,750000,-1000000,0.0,0.0,631.7667322834645
21,3,1000000,-1000000,-3137.3031496062995,0.0,710.5068897637796
22,3,1250000,-1000000,-1882.3818897637796,-1259.8425196850394,710.5068897637796
23,3,-1250000,-750000,-3764.763779527559,-1259.8425196850394,631.7667322834645
24,3,-1000000,-750000,0.0,0.0,710.5068897637796
25,3,-750000,-750000,1882.3818897637796,0.0,631.7667322834645
26,3,-500000,-750000,-1882.3818897637796,-1259.8425196850394,710.5068897637796
27,3,-250000,-750000,-3137.3031496062995,0.0,710.5068897637796
28,3,0,-750000,-1882.3818897637796,0.0,631.7667322834645
29,3,250000,-750000,-627.46062992126,0.0,710.5068897637796
30,3,500000,-750000,0.0,-2519.685039370079,710.5068897637796
31,3,750000,-750000,-1254.9212598425197,-1259.8425196850394,710.5068897637796
32,3,1000000,-750000,-2509.8425196850394,0.0,710.5068897637796
33,3,1250000,-750000,-3137.3031496062995,0.0,631.7667322834645
34,3,-1250000,-500000,-1882.3818897637796,-1259.8425196850394,631.7667322834645
35,3,-1000000,-500000,-3137.3031496062995,0.0,710.5068897637796
36,3,-750000,-500000,-3137.3031496062995,0.0,631.7667322834645
37,3,-500000,-500000,-1882.3818897637796,0.0,631.7667322834645
38,3,-250000,-500000,-2509.8425196850394,0.0,631.7667322834645
39,3,0,-500000,-1882.3818897637796,0.0,631.7667322834645
40,3,250000,-500000,-627.4606299212599,-1259.8425196850394,631.7667322834645
41,3,500000,-500000,-4392.224409448819,-1259.8425196850394,631.7667322834645
42,3,750000,-500000,-1254.92125984252,0.0,631.7667322834645
43,3,1000000,-500000,-4392.224409448819,0.0,631.7667322834645
44,3,1250000,-500000,-5647.145669291339,0.0,710.5068897637796
45,3,-1250000,-250000,-2509.84251968504,0.0,710.5068897637796
46,3,-1000000,-250000,-2509.84251968504,-2519.685039370079,631.7667322834645
47,3,-750000,-250000,-4392.224409448819,-3779.5275590551187,631.7667322834645
48,3,-500000,-250000,-1882.3818897637796,0.0,631.7667322834645
49,3,-250000,-250000,-3137.3031496062995,0.0,631.7667322834645
50,3,0,-250000,-1254.9212598425197,0.0,631.7667322834645
51,3,250000,-250000,-1882.3818897637796,0.0,710.5068897637796
52,3,500000,-250000,-3137.3031496062995,0.0,631.7667322834645
53,3,750000,-250000,-1882.3818897637796,-1259.8425196850394,631.7667322834645
54,3,1000000,-250000,627.46062992126,0.0,631.7667322834645
55,3,1250000,-250000,-3764.763779527559,0.0,631.7667322834645
56,3,-1250000,0,-1882.3818897637796,0.0,631.7667322834645
57,3,-1000000,0,-1882.3818897637796,0.0,631.7667322834645
58,3,-750000,0,-2509.8425196850394,0.0,631.7667322834645
59,3,-500000,0,-627.4606299212599,-1259.8425196850394,631.7667322834645
60,3,-250000,0,-3137.3031496062995,0.0,631.7667322834645
61,3,0,0,-3764.763779527559,0.0,631.7667322834645
62,3,250000,0,-3137.3031496062995,-2519.685039370079,631.7667322834645
63,3,500000,0,-3764.763779527559,0.0,631.7667322834645
64,3,750000,0,1882.3818897637796,0.0,631.7667322834645
65,3,1000000,0,-4392.224409448819,-1259.8425196850394,631.7667322834645
66,3,1250000,0,-1882.3818897637796,-1259.8425196850394,631.7667322834645
67,3,-1250000,250000,-5019.685039370078,-1259.8425196850394,631.7667322834645
68,3,-1000000,250000,-3764.763779527559,0.0,631.7667322834645
69,3,-750000,250000,-1882.3818897637796,-1259.8425196850394,631.7667322834645
70,3,-500000,250000,-1882.3818897637796,0.0,631.7667322834645
71,3,-250000,250000,-6902.066929133859,0.0,631.7667322834645
72,3,0,250000,-1882.3818897637796,-2519.685039370079,631.7667322834645
73,3,250000,250000,-1254.9212598425197,0.0,631.7667322834645
74,3,500000,250000,-1882.3818897637796,-1259.8425196850394,631.7667322834645
75,3,750000,250000,0.0,-1259.8425196850394,631.7667322834645
76,3,1000000,250000,0.0,0.0,631.7667322834645
77,3,1250000,250000,627.4606299212599,0.0,631.7667322834645
78,3,-1250000,500000,-627.4606299212599,0.0,631.7667322834645
79,3,-1000000,500000,-1254.9212598425197,-1259.8425196850394,631.7667322834645
80,3,-750000,500000,-1254.9212598425197,0.0,631.7667322834645
81,3,-500000,500000,-627.4606299212599,0.0,631.7667322834645
82,3,-250000,500000,-3764.763779527559,0.0,631.7667322834645
83,3,0,500000,-627.4606299212599,0.0,631.7667322834645
84,3,250000,500000,3137.3031496062995,0.0,631.7667322834645
85,3,500000,500000,-1882.3818897637796,0.0,631.7667322834645
86,3,750000,500000,627.4606299212599,0.0,631.7667322834645
87,3,1000000,500000,-627.46062992126,0.0,710.5068897637796
88,3,1250000,500000,-5019.685039370079,0.0,631.7667322834645
89,3,-1250000,750000,-3137.3031496062995,0.0,710.5068897637796
90,3,-1000000,750000,-3137.3031496062995,-1259.8425196850394,631.7667322834645
91,3,-750000,750000,-3137.3031496062995,0.0,631.7667322834645
92,3,-500000,750000,-1254.9212598425197,-1259.8425196850394,631.7667322834645
93,3,-250000,750000,-4392.224409448819,0.0,631.7667322834645
94,3,0,750000,-2509.8425196850394,0.0,710.5068897637796
95,3,250000,750000,-1254.9212598425197,0.0,631.7667322834645
96,3,500000,750000,-627.4606299212599,0.0,710.5068897637796
97,3,750000,750000,-1882.3818897637796,0.0,631.7667322834645
98,3,1000000,750000,-3137.3031496062995,-1259.8425196850394,710.5068897637796
99,3,1250000,750000,0.0,0.0,631.7667322834645
100,3,-1250000,1000000,0.0,0.0,631.7667322834645
101,3,-1000000,1000000,-1254.9212598425197,0.0,710.5068897637796
102,3,-750000,1000000,-627.4606299212599,0.0,710.5068897637796
103,3,-500000,1000000,-4392.224409448819,-1259.8425196850394,631.7667322834645
104,3,-250000,1000000,-1882.3818897637796,-2519.685039370079,710.5068897637796
105,3,0,1000000,-1882.3818897637796,0.0,631.7667322834645
106,3,250000,1000000,1882.3818897637796,0.0,631.7667322834645
107,3,500000,1000000,-3764.763779527559,0.0,631.7667322834645
108,3,750000,1000000,-5647.145669291339,-2519.685039370079,631.7667322834645
109,3,1000000,1000000,-2509.8425196850394,-1259.8425196850394,631.7667322834645
110,3,1250000,1000000,-4392.224409448819,0.0,710.5068897637796
111,3,-1250000,1250000,-1254.92125984252,0.0,631.7667322834645
112,3,-1000000,1250000,-5647.145669291339,0.0,710.5068897637796
113,3,-750000,1250000,-2509.8425196850394,-1259.8425196850394,631.7667322834645
114,3,-500000,1250000,-4392.224409448819,-1259.8425196850394,631.7667322834645
115,3,-250000,1250000,-2509.8425196850394,-1259.8425196850394,631.7667322834645
116,3,0,1250000,-627.4606299212599,0.0,710.5068897637796
117,3,250000,1250000,-3764.763779527559,0.0,631.7667322834645
118,3,500000,1250000,-2509.8425196850394,0.0,631.7667322834645
119,3,750000,1250000,-627.4606299212599,0.0,631.7667322834645
120,3,1000000,1250000,-4392.224409448819,0.0,631.7667322834645
121,3,1250000,1250000,-4392.224409448819,0.0,631.7667322834645
